Date,Open,High,Low,Close,Volume,Adj Close
2016-02-23,79.239998,84.480003,78.339996,79.269997,15372100,79.269997
2016-02-24,77.949997,84.989998,76.620003,83.830002,8903400,83.830002
2016-02-25,83.379997,85.970001,82.099998,84.709999,5757200,84.709999
2016-02-26,85.0,86.5,80.510002,80.650002,10084100,80.650002
2016-02-29,76.519997,76.949997,63.75,65.800003,27302400,65.800003
2016-03-01,65.5,67.800003,59.869999,65.449997,41571100,65.449997
2016-03-02,65.300003,69.790001,65.120003,67.470001,18257500,67.470001
2016-03-03,66.82,67.0,64.610001,64.889999,10829400,64.889999
2016-03-04,65.720001,65.970001,59.93,61.310001,13653400,61.310001
2016-03-07,63.299999,68.279999,62.75,65.660004,14784700,65.660004
2016-03-08,65.389999,66.550003,63.049999,63.150002,6742500,63.150002
2016-03-09,65.489998,67.769997,63.549999,66.860001,9882200,66.860001
2016-03-10,67.129997,68.620003,65.269997,66.150002,6829100,66.150002
2016-03-11,67.099998,69.660004,66.830002,69.550003,6906600,69.550003
2016-03-14,69.550003,70.43,66.68,69.040001,9407500,69.040001
2016-03-15,53.5,53.900002,33.009998,33.509998,138949800,33.509998
2016-03-16,33.02,35.82,31.200001,33.540001,54134700,33.540001
2016-03-17,33.619999,33.700001,29.52,29.690001,52086900,29.690001
2016-03-18,30.040001,30.93,26.719999,26.98,58852600,26.98
2016-03-21,26.1,31.59,25.99,28.98,71332400,28.98
2016-03-22,30.08,32.049999,29.01,31.889999,54230600,31.889999
2016-03-23,33.07,34.400002,32.419998,33.43,39365100,33.43
2016-03-24,32.73,32.950001,30.799999,31.09,24030300,31.09
2016-03-28,30.4,30.6,28.26,28.860001,27494100,28.860001
2016-03-29,27.84,29.74,27.51,28.98,26876000,28.98
2016-03-30,30.17,30.219999,26.719999,27.07,32980100,27.07
2016-03-31,27.030001,27.620001,25.75,26.299999,44511900,26.299999
2016-04-01,26.030001,29.32,25.75,28.1,39600700,28.1
2016-04-04,28.379999,29.0,25.27,26.110001,26096300,26.110001
2016-04-05,29.6,29.91,27.790001,28.73,48847300,28.73
2016-04-06,29.0,34.68,28.809999,34.169998,75543600,34.169998
2016-04-07,37.200001,38.18,34.490002,35.509998,66830700,35.509998
2016-04-08,35.439999,35.490002,33.380001,33.669998,32729700,33.669998
2016-04-11,34.369999,34.790001,31.07,31.35,44405100,31.35
2016-04-12,30.48,32.849998,30.360001,31.99,36609100,31.99
2016-04-13,31.25,33.5,30.34,33.099998,33765600,33.099998
2016-04-14,33.099998,33.360001,31.549999,32.360001,32401300,32.360001
2016-04-15,32.990002,33.139999,32.009998,32.139999,22162500,32.139999
2016-04-18,31.860001,33.700001,31.41,33.34,20695300,33.34
2016-04-19,33.389999,35.200001,33.060001,33.450001,19784600,33.450001
2016-04-20,33.849998,34.43,33.16,33.529999,11327900,33.529999
2016-04-21,33.709999,33.939999,33.07,33.349998,12952800,33.349998
2016-04-22,35.389999,36.490002,35.23,35.98,26371300,35.98
2016-04-25,37.299999,37.900002,35.060001,35.16,34326900,35.16
2016-04-26,35.599998,36.43,34.52,36.23,15618000,36.23
2016-04-27,35.82,36.669998,34.509998,34.919998,12818500,34.919998
2016-04-28,35.68,36.259998,35.0,35.25,14439100,35.25
2016-04-29,36.639999,37.220001,32.330002,33.360001,35513400,33.360001
